,comment,sentiment_scores
0,im not in charge of contraceptives i can see that had me cracking up,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
1,strauss and oppenheimer both being served career implosions at the same exact time to represent mutually assured destruction was genius,"{'neg': 0.153, 'neu': 0.744, 'pos': 0.103, 'compound': -0.296}"
2,maybe they were talking about something more important what a great go fuck yourself moment all the selfimportance just gone rdj killed it in this role,"{'neg': 0.221, 'neu': 0.608, 'pos': 0.171, 'compound': -0.4228}"
3,academy award best actor winners casey affleck gary oldman and remi malek have total screen time of about  minutes,"{'neg': 0.0, 'neu': 0.597, 'pos': 0.403, 'compound': 0.8957}"
4,some guy in front of me went for a bathroom break with  minutes left he sat there for hm but just couldnt make it brutal timing lol,"{'neg': 0.0, 'neu': 0.754, 'pos': 0.246, 'compound': 0.8458}"
5,oppenheimer im so conflicted about my creation ah and angst of genius teller you know this is just the fuse for a bigger bomb i wanted to make,"{'neg': 0.102, 'neu': 0.831, 'pos': 0.067, 'compound': -0.2732}"
6,my brother said that gary oldman just needs to play stalin now and hell have played all three world leaders who were at potsdam nolan seriously pulled every string possible for casting in this its amazing how he knew how all of the people hes worked with before in their secondary roles would be able to fit together into the puzzle but thats part of what makes his films enjoyable david krumholtzs physical transformation caught me off guard and rami malek having no lines until the verbal bomb drops at the end was outstanding,"{'neg': 0.1, 'neu': 0.749, 'pos': 0.151, 'compound': 0.6858}"
7,casey affleck was terrifying in the small screen time we saw him got sociopathic cia vibes from his character,"{'neg': 0.171, 'neu': 0.829, 'pos': 0.0, 'compound': -0.5719}"
8,the ending scene tying back into the raindrops hit me so damn hard good job nolan you are the man never stop making movies,"{'neg': 0.171, 'neu': 0.662, 'pos': 0.167, 'compound': -0.0304}"
9,my man gödel talking about the structure of trees while everybodys trying to blow the world up was my favourite part of the film,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
10,normal people during sex oh yeah oh baby nerds during sex i am become death the destroyer of worlds,"{'neg': 0.275, 'neu': 0.637, 'pos': 0.088, 'compound': -0.6908}"
11,dont let that crybaby back in holy shit truman was an asshole he was on screen for less than  minutes and was somehow the worst person in the movie,"{'neg': 0.222, 'neu': 0.778, 'pos': 0.0, 'compound': -0.8271}"
12,i liked kittys line of you dont get to sin and make everyone feel sorry for you after he found out tatlock died,"{'neg': 0.165, 'neu': 0.641, 'pos': 0.193, 'compound': 0.2081}"
13,the scene after the bomb goes off and hes addressing the crowd will haunt me for some time i cant remember feeling so uncomfortable in a theatre i cant wait to see it again absolutely incredible spectacle from start to finish,"{'neg': 0.154, 'neu': 0.764, 'pos': 0.083, 'compound': -0.3477}"
14,florence pugh showed up and got naked then killed herself that scene where oppies wife is imagining pugh just riding her husband that was something i never thought id see in a nolan film it was almost ari aster like,"{'neg': 0.101, 'neu': 0.849, 'pos': 0.05, 'compound': -0.5046}"
15,i believe we did those final shots just made my heart sink even knowing the history i wasnt prepared to be so emotionally drained after this,"{'neg': 0.14, 'neu': 0.727, 'pos': 0.133, 'compound': 0.1915}"
16,i love the use of ripples on water to represent nuclear bombings like how they have drawn the blast radiuses on the map in the end during einstein and oppenheimers encounter it was drizzling and endless ripples formed on the lake,"{'neg': 0.0, 'neu': 0.853, 'pos': 0.147, 'compound': 0.7717}"
17,emily blunts character answering questions from roger robb and not falling for any of his bullshit was a great scene,"{'neg': 0.144, 'neu': 0.645, 'pos': 0.21, 'compound': 0.1887}"
18,the feeling in my theater was palpable after the trinity test was successful and everyone on the ground was cheering its success i dont know how to describe it but it was kind of out of body to see almost a time capsule of people from  years ago celebrating the creation of something that could be the death of myself or my children in the future really chilling scene,"{'neg': 0.083, 'neu': 0.728, 'pos': 0.189, 'compound': 0.7852}"
19,do you want them to tar and feather you in the hopes theyll forgive you for what youve done emily blunt delivering the most scathing condemnation of oppenheimers character and actions was so fucking powerful mix that in with her portrayal of postpartum depression a mother and wife resigned to be nothing but a caretaker in the shadow of an ego driven neurotic anxiety filled genius and then a powerhouse fighter in the hearing i think she was a real highlight for me the film was way more humanising of oppenheimer then i was thinking itd be but also so much more damning of him than id ever thought it would be,"{'neg': 0.122, 'neu': 0.786, 'pos': 0.093, 'compound': -0.6897}"
20,maybe they werent talking about you at all maybe something more important leading up to the final scene was a great line the wince from downey as the door opens and hes hit with the sound of the reporters waiting to tear him down further,"{'neg': 0.0, 'neu': 0.874, 'pos': 0.126, 'compound': 0.7346}"
21,ends with american prometheus realizing the full scope of what still may come to pass this movie was fantastic rdj gave one hell of a fucking performance in the final act of the movie as did everyone regardless of their screen time throughout cillian murphy conveyed so much through his role id be surprised if he didnt win best actor emily blunt gave one hell of a performance and the shot of her reliving her husbands infidelity during the clearance interview was artistically beautiful a great show dont tell moment the fact that the pace starts and never really never lets up but has moments of built tension that doesnt release and moves on to save for later makes it feel like it also never speeds up either its a marathon but its paced so well its like you were trained for that marathon my body felt the three hour run time but my mind didnt the ending was also beautiful shot from almost every aspect rdj slowly making his way towards oppenheimer and einstein to the content of that teased conversation to the way it ended,"{'neg': 0.072, 'neu': 0.795, 'pos': 0.134, 'compound': 0.9364}"
22,why did nolan tease jfk like the joker card from batman begins,"{'neg': 0.15, 'neu': 0.588, 'pos': 0.261, 'compound': 0.1779}"
23,havent seen anyone talk about matt damon yeti think he did an incredible job,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
24,the last scene with oppenheimer and einstein made my stomach launch into my throat,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
25,emily blunts character where it looks like shes starting to break down and the sudden  during the questioning was amazing standing her ground and not falling for bait questions,"{'neg': 0.041, 'neu': 0.732, 'pos': 0.227, 'compound': 0.7464}"
